type,model_name,metric,1,foreground_mean
CNN,150KVMAE,Dice,0.7877991378594754,0.7877991378594754
CNN,150KVMAE,FN,685.744,685.744
CNN,150KVMAE,FP,199.176,199.176
CNN,150KVMAE,IoU,0.6782891133595579,0.6782891133595579
CNN,150KVMAE,NSD,0.776863004984228,0.776863004984228
CNN,150KVMAE,TN,921382.336,921382.336
CNN,150KVMAE,TP,2477.648,2477.648
CNN,150KVMAE,n_pred,2676.824,2676.824
CNN,150KVMAE,n_ref,3163.392,3163.392
CNN,AE,Dice,0.7734200332247197,0.7734200332247197
CNN,AE,FN,754.088,754.088
CNN,AE,FP,210.768,210.768
CNN,AE,IoU,0.6627088773240082,0.6627088773240082
CNN,AE,NSD,0.7557212756174673,0.7557212756174673
CNN,AE,TN,921370.744,921370.744
CNN,AE,TP,2409.304,2409.304
CNN,AE,n_pred,2620.072,2620.072
CNN,AE,n_ref,3163.392,3163.392
CNN,AlignedConConMAELR5,Dice,0.7964685400186711,0.7964685400186711
CNN,AlignedConConMAELR5,FN,422.544,422.544
CNN,AlignedConConMAELR5,FP,258.96,258.96
CNN,AlignedConConMAELR5,IoU,0.6849066993370596,0.6849066993370596
CNN,AlignedConConMAELR5,NSD,0.7790482635977264,0.7790482635977264
CNN,AlignedConConMAELR5,TN,899167.624,899167.624
CNN,AlignedConConMAELR5,TP,2076.68,2076.68
CNN,AlignedConConMAELR5,n_pred,2335.64,2335.64
CNN,AlignedConConMAELR5,n_ref,2499.224,2499.224
CNN,AlignedConConMAE,Dice,0.7813119165047026,0.7813119165047026
CNN,AlignedConConMAE,FN,510.632,510.632
CNN,AlignedConConMAE,FP,234.784,234.784
CNN,AlignedConConMAE,IoU,0.6694165504037535,0.6694165504037535
CNN,AlignedConConMAE,NSD,0.762184284680785,0.762184284680785
CNN,AlignedConConMAE,TN,899191.8,899191.8
CNN,AlignedConConMAE,TP,1988.592,1988.592
CNN,AlignedConConMAE,n_pred,2223.376,2223.376
CNN,AlignedConConMAE,n_ref,2499.224,2499.224
CNN,AlignedMAELR5,Dice,0.7869498975419885,0.7869498975419885
CNN,AlignedMAELR5,FN,407.464,407.464
CNN,AlignedMAELR5,FP,278.824,278.824
CNN,AlignedMAELR5,IoU,0.6760104804326561,0.6760104804326561
CNN,AlignedMAELR5,NSD,0.7680449203859967,0.7680449203859967
CNN,AlignedMAELR5,TN,899147.76,899147.76
CNN,AlignedMAELR5,TP,2091.76,2091.76
CNN,AlignedMAELR5,n_pred,2370.584,2370.584
CNN,AlignedMAELR5,n_ref,2499.224,2499.224
CNN,AlignedMAE,Dice,0.789712321800032,0.789712321800032
CNN,AlignedMAE,FN,426.92,426.92
CNN,AlignedMAE,FP,274.736,274.736
CNN,AlignedMAE,IoU,0.6766534210429799,0.6766534210429799
CNN,AlignedMAE,NSD,0.7709064992171005,0.7709064992171005
CNN,AlignedMAE,TN,899151.848,899151.848
CNN,AlignedMAE,TP,2072.304,2072.304
CNN,AlignedMAE,n_pred,2347.04,2347.04
CNN,AlignedMAE,n_ref,2499.224,2499.224
CNN,BaseMAE,Dice,0.7887269574257734,0.7887269574257734
CNN,BaseMAE,FN,374.92,374.92
CNN,BaseMAE,FP,314.304,314.304
CNN,BaseMAE,IoU,0.6756519595301432,0.6756519595301432
CNN,BaseMAE,NSD,0.7666438784102737,0.7666438784102737
CNN,BaseMAE,TN,899112.28,899112.28
CNN,BaseMAE,TP,2124.304,2124.304
CNN,BaseMAE,n_pred,2438.608,2438.608
CNN,BaseMAE,n_ref,2499.224,2499.224
CNN,ConAlignedMAE,Dice,0.7858440919410185,0.7858440919410185
CNN,ConAlignedMAE,FN,419.968,419.968
CNN,ConAlignedMAE,FP,277.08,277.08
CNN,ConAlignedMAE,IoU,0.6743331266155638,0.6743331266155638
CNN,ConAlignedMAE,NSD,0.7681390655005124,0.7681390655005124
CNN,ConAlignedMAE,TN,899149.504,899149.504
CNN,ConAlignedMAE,TP,2079.256,2079.256
CNN,ConAlignedMAE,n_pred,2356.336,2356.336
CNN,ConAlignedMAE,n_ref,2499.224,2499.224
CNN,ConMAEFT,Dice,0.7963735962270073,0.7963735962270073
CNN,ConMAEFT,FN,413.688,413.688
CNN,ConMAEFT,FP,287.848,287.848
CNN,ConMAEFT,IoU,0.6846509136349433,0.6846509136349433
CNN,ConMAEFT,NSD,0.7783426269728716,0.7783426269728716
CNN,ConMAEFT,TN,899138.736,899138.736
CNN,ConMAEFT,TP,2085.536,2085.536
CNN,ConMAEFT,n_pred,2373.384,2373.384
CNN,ConMAEFT,n_ref,2499.224,2499.224
CNN,ConMAELR5,Dice,0.8004668567177913,0.8004668567177913
CNN,ConMAELR5,FN,413.208,413.208
CNN,ConMAELR5,FP,275.624,275.624
CNN,ConMAELR5,IoU,0.688673243452312,0.688673243452312
CNN,ConMAELR5,NSD,0.7817726057979221,0.7817726057979221
CNN,ConMAELR5,TN,899150.96,899150.96
CNN,ConMAELR5,TP,2086.016,2086.016
CNN,ConMAELR5,n_pred,2361.64,2361.64
CNN,ConMAELR5,n_ref,2499.224,2499.224
CNN,ConsisMAE,Dice,0.7908678963680154,0.7908678963680154
CNN,ConsisMAE,FN,681.112,681.112
CNN,ConsisMAE,FP,197.64,197.64
CNN,ConsisMAE,IoU,0.6812039423058408,0.6812039423058408
CNN,ConsisMAE,NSD,0.7783445319279277,0.7783445319279277
CNN,ConsisMAE,TN,921383.872,921383.872
CNN,ConsisMAE,TP,2482.28,2482.28
CNN,ConsisMAE,n_pred,2679.92,2679.92
CNN,ConsisMAE,n_ref,3163.392,3163.392
CNN,FeatConDecAligned,Dice,0.7931258320391702,0.7931258320391702
CNN,FeatConDecAligned,FN,425.016,425.016
CNN,FeatConDecAligned,FP,265.12,265.12
CNN,FeatConDecAligned,IoU,0.6823015863854571,0.6823015863854571
CNN,FeatConDecAligned,NSD,0.7740299602698634,0.7740299602698634
CNN,FeatConDecAligned,TN,899161.464,899161.464
CNN,FeatConDecAligned,TP,2074.208,2074.208
CNN,FeatConDecAligned,n_pred,2339.328,2339.328
CNN,FeatConDecAligned,n_ref,2499.224,2499.224
CNN,LPMAE,Dice,0.7851392239593082,0.7851392239593082
CNN,LPMAE,FN,691.368,691.368
CNN,LPMAE,FP,202.344,202.344
CNN,LPMAE,IoU,0.676201508605936,0.676201508605936
CNN,LPMAE,NSD,0.7708520084517867,0.7708520084517867
CNN,LPMAE,TN,921379.168,921379.168
CNN,LPMAE,TP,2472.024,2472.024
CNN,LPMAE,n_pred,2674.368,2674.368
CNN,LPMAE,n_ref,3163.392,3163.392
CNN,MAE,Dice,0.7929900556639873,0.7929900556639873
CNN,MAE,FN,723.808,723.808
CNN,MAE,FP,188.368,188.368
CNN,MAE,IoU,0.6837997487057343,0.6837997487057343
CNN,MAE,NSD,0.7820363758815142,0.7820363758815142
CNN,MAE,TN,921393.144,921393.144
